,title,subtitle,link
0,MASE-GON,Chilwell & Mount holiday together amid Utd interest as fans beg for Chelsea stay,https://www.thesun.co.uk/sport/22555961/fans-chilwell-mount-chelsea-man-utd-holiday-transfer/
1,LIN-GONE,Former Man Utd star Jesse Lingard released as Nottingham Forest let 12 players go,https://www.thesun.co.uk/sport/22558238/jesse-lingard-released-nottingham-forest-12-players/
2,GRAN GRAB,Bayern to hijack Leverkusen move for Xhaka after outgoing star’s ‘goodbye’ post,https://www.thesun.co.uk/sport/22559135/bayern-munich-hijack-leverkusen-transfer-granit-xhaka-arsenal/
3,HAMMER AWAY?,Moyes breaks silence on Celtic links after becoming favourite to succeed Ange,https://www.thesun.co.uk/sport/22557066/david-moyes-breaks-silence-celtic-ange-tottenham-manager/
4,CUP KINGS,Betting tips for Man City vs Man Utd: FA Cup final preview and best odds,https://www.thesun.co.uk/sport/22534239/man-utd-man-city-betting-tips-preview/
5,LAS DANCE,How much Reynolds and McElhenney spent on Wrexham's wild Las Vegas trip revealed,https://www.thesun.co.uk/sport/22556114/ben-foster-wrexham-reynolds-mcelhenney-spent-vegas-trip/
6,POT LUCK,Leicester make move to appoint Potter as boss but face fight with rivals,https://www.thesun.co.uk/sport/22557602/leicester-graham-potter-manager-chelsea/
7,ALL FOR NOTHING,Sam Allardyce LEAVES Leeds after just 25 days following Prem relegation,https://www.thesun.co.uk/sport/22552966/sam-allardyce-leaves-leeds/
8,IN THE DOCK,Sunderland star appears in court charged with rape and sexual assault,https://www.thesun.co.uk/sport/22554960/sunderland-jack-diamond-court-rape-sexual-assault/
9,EXPERT REVIEW,I'm a casino expert - here’s how to make the most of your free spins bonuses,https://www.thesun.co.uk/betting/22454421/make-most-of-free-spins-bonuses/
10,TOP DEAL,Get money back up to £40 if your first bet loses PLUS £10 casino bonus with Unibet,https://www.thesun.co.uk/sport/22176588/money-back-first-bet-casino-bonus-unibet-offer/
11,TOP 40,Football free bets: Get £40 bonus when you stake £10 with William Hill,https://www.thesun.co.uk/sport/20695257/william-hill-free-bets-sign-up-bonus-offer-register/
12,BIG DEAL,Claim £30 in free football accas when you bet £10 at Ladbrokes,https://www.thesun.co.uk/sport/betting-tips/19780272/ladbrokes-football-free-bets/
13,SUM OF SAM,How much Sam Allardyce cost Leeds revealed with boss earning £20k per DAY,https://www.thesun.co.uk/sport/22556819/sam-allardyce-leeds-united-pay-salary-relegation/
14,MARK HALSEY,Mourinho should be banned for SIX games for X-rated tirade at ref Taylor,https://www.thesun.co.uk/sport/22552503/jose-mourinho-banned-x-rated-tirade-anthony-taylor/
15,'REPEAT OFFENDER',Stelling demands 'strongest punishment' for Mourinho after Taylor abuse,https://www.thesun.co.uk/sport/22555729/jeff-stelling-punishment-demand-jose-mourinho-anthony-taylor-abuse/
16,GUNNER BE TOUGH,Arsenal fans predict first game as they question ‘random fixture generator’,https://www.thesun.co.uk/sport/22558228/arsenal-premier-league-fixtures-opening-day/
17,SPIN THOSE REELS,Best Payout Slots for UK 2023,https://www.thesun.co.uk/betting/22472603/top-payout-slots-uk/
18,RACISM ROW,West Ham match suspended after ‘former star is subjected to vile racist slur’,https://www.thesun.co.uk/sport/22554289/west-ham-dallas-soccer-tournament-racism-anton-ferdinand-nouble/
19,MARK IRWIN,Mourinho will love the fuss for his latest X-rated rant but irony is lost on him,https://www.thesun.co.uk/sport/22552767/jose-mourinho-roma-sevilla-europa-league-irwin-comment/
20,TOP DEC,Man Utd & Arsenal in huge transfer boost with ‘Declan Rice to REJECT Bayern Munich',https://www.thesun.co.uk/sport/22555003/man-utd-arsenal-transfer-boost-declan-rice-bayern-munich/
21,MAD HATTERS,Luton release TEN players including their CAPTAIN days after promotion,https://www.thesun.co.uk/sport/22554351/luton-release-ten-players-premier-league-captain-promotion/
22,RICH REPLY,Richarlison takes weeks to hit back at two Prem rivals after they mocked him,https://www.thesun.co.uk/sport/22558332/richarlison-tottenham-blast-michail-antonio-callum-wilson-trolling/
23,CASINO,Best Casino Bonuses - Sign up for Free Spins and No deposit bonuses,https://www.thesun.co.uk/betting/20754895/casino-bonus/
24,CASH OUT QUICK!,Fast withdrawal casinos: Best instant withdrawal casinos in the UK,https://www.thesun.co.uk/betting/21287535/fast-withdrawal-casinos/
25,FREE SPINS,Duelz Casino bonus: 100% matched deposit and 100 free spins,https://www.thesun.co.uk/betting/21848309/matched-deposit-bonus-duelz-casino/
26,ODE TO JOY,Martin Odegaard goes public with stunning dancer girlfriend who licks his face,https://www.thesun.co.uk/sport/22554752/martin-odegaard-arsenal-helene-spilling/
27,PHIL BAD,Beckham sacks ex-Man Utd team-mate Phil Neville as Inter Miami boss after fan fury,https://www.thesun.co.uk/sport/22553480/phil-neville-inter-miami-david-beckham/
28,GUNNER GO,Ex-Arsenal star hailed by Wenger left unemployed after Premier League return,https://www.thesun.co.uk/sport/22555005/ex-arsenal-star-wenger-unemployed-premier-league-henri-lansbury/
29,ON THE MOVE?,"Man Utd, Chelsea and Spurs in transfer battle for Inter Champions League hero",https://www.thesun.co.uk/sport/22556171/man-utd-chelsea-tottenham-transfer-inter-milan-andre-onana/
30,REVIEW,Best online casinos in the UK: Top 10 casino sites for 2023,https://www.thesun.co.uk/betting/20803800/the-best-online-casinos-in-the-uk/
31,MAD FOR IT,Simeone jokes stars who have sex just four times a month 'can't play for me',https://www.thesun.co.uk/sport/22555440/diego-simeone-atletico-madrid-wife-sex/
32,FAMILY TIME,Premier League legend looks unrecognisable with beard at daughter's birthday,https://www.thesun.co.uk/sport/22549634/premier-league-legend-harry-kewell-liverpool-unrecognisable-daughter/
33,IT'S OFFICIAL,Champions League final ref KEEPS role after apologising over far-right links,https://www.thesun.co.uk/sport/22556325/champions-league-final-referee-szymon-marciniak/
34,ITALIAN JOB,Leeds owner ‘offers up Elland Road as COLLATERAL’ for loan to buy Sampdoria,https://www.thesun.co.uk/sport/22549508/leeds-elland-road-bank-loan-sampdoria-takeover-radrizzani/
35,RON TRACK MIND,Ronaldo makes transfer decision amid talk of sensational return to Real,https://www.thesun.co.uk/sport/22552034/cristiano-ronaldo-transfer-rumour-al-nassr-real-madrid/
36,HOME ADVANTAGE,We live on a famous old Prem ground - fans flock to our homes but we love it,https://www.thesun.co.uk/sport/22555918/we-live-on-site-of-old-famous-ground/
37,MESSI GOODBYE,PSG identify Lionel Messi replacement as boss confirms star's last game,https://www.thesun.co.uk/sport/22547235/lionel-messi-transfer-quit-psg-galtier/
38,NO WAY JOSE,Neville deletes tweet slamming Mourinho’s Roma after Europa League final loss,https://www.thesun.co.uk/sport/22548640/gary-neville-tweet-jose-mourinho-roma-europa-league-final/
39,HATTERS RELIEF,Luton star set to be released from hospital after horror Wembley collapse,https://www.thesun.co.uk/sport/22543588/luton-star-hospital-horror-wembley-collapse/
40,BREACH FOR THE STARS,Who is Jules Breach and what football team does she support?,https://www.thesun.co.uk/sport/21954416/who-is-jules-breach-what-football-team-does-support/
41,CLAU BLIMEY,World's sexiest ref Claudia Romani risks red card as she strips to tiny dress,https://www.thesun.co.uk/sport/22557197/referee-claudia-romani-instagram-red-card/
42,WHAT THE FOX!,Leicester City supporter trolled after his dad's phone number's exposed on TV,https://www.thesun.co.uk/sport/22552065/fan-leicester-city-radio-dads-phone-number-on-it/
43,DAD DEFENCE,Man Utd icon's son booed by own fans as legend blasts 'don't go for my boy',https://www.thesun.co.uk/sport/22545627/inter-miami-phil-neville-son-harvey-booed-supporters-mls/
44,BRIGHT SIDE,Chelsea 'receive £30m bid from Premier League rivals for Levi Colwill',https://www.thesun.co.uk/sport/22542779/chelsea-recieve-levi-colwill-transfer-offer-brighton/
45,YOU'LL NEVER GUESS,Premier League icon looks unrecognisable in bearded disguise at Anfield,https://www.thesun.co.uk/sport/22542167/man-utd-gary-neville-unrecognisable-bearded-disguise-anfield/
46,ANTI-ANGE,Spurs fans launch 'no to Postecoglou' campaign & Celtic fans make feelings clear,https://www.thesun.co.uk/sport/football/22536917/tottenham-celtic-ange-postecoglou-twitter-campaign/
47,BEST OF HAAL,"I played with Cantona, Lineker & Zola… here’s why Haaland is BETTER than them",https://www.thesun.co.uk/sport/22539163/erling-haaland-mark-hughes-man-city-praise/
48,KAI BYE,Rangers youngster linked with Man City and Bayern Munich quits Ibrox for free,https://www.thesun.co.uk/sport/football/22554167/rangers-kai-kennedy-bayern-munich-manchester-city/
49,AV-ING A LAUGH!,Man Utd fans say 'no way this is real' as Glazer commits huge football sin,https://www.thesun.co.uk/sport/22551790/man-utd-fans-avram-glazer-commits-football-sin-liverpool/
50,MIK TAKE,Antonio says West Ham flop 'not a fighter' as he reveals star will NEVER fit in,https://www.thesun.co.uk/sport/22538299/michail-antonio-west-ham-transfer-gianluca-scamacca/
51,SP£CIAL BRU,Bruno to snub THREE Euro giants to become Newcastle's highest-paid star ever,https://www.thesun.co.uk/sport/22533022/newcastle-bruno-guimaraes-liverpool-barcelona-real-madrid-transfer/
52,OPTIONS MOUNT,Three ways Mason Mount could fit into Man Utd line-up as he ‘agrees terms’,https://www.thesun.co.uk/sport/22546083/mason-mount-transfer-chelsea-man-utd-lineup/
53,MUAN UNITED,Man Utd 'in detailed transfer talks' for strikers Hojlund and Kolo Muani,https://www.thesun.co.uk/sport/22543020/man-utd-transfer-talks-strikers-hojlund-kolo-muani-kane/
54,TAM THE MAN,Abraham set to spark Premier League scramble with Roma forced to sell striker,https://www.thesun.co.uk/sport/22551337/tammy-abraham-premier-league-transfer-roma-chelsea/
55,PROWSE PROWL,James Ward-Prowse lined up for immediate Prem return as fourth club join chase,https://www.thesun.co.uk/sport/22543808/james-ward-prowse-southampton-transfer-wolves/
56,TRANSFER MASE,Chelsea star Mason Mount 'agrees contract' with Man Utd as he snubs Poch,https://www.thesun.co.uk/sport/22540182/mason-mount-manchester-united-chelsea-mauricio-pochettino/
57,UNITED LATEST,"Glazers to attend FA Cup final, Hojlund linked, Kane updates, Mount latest",https://www.thesun.co.uk/sport/22435954/man-utd-takeover-news-live-harry-kane-transfer-avram-glazer/
58,ARSENAL LIVE,"Xhaka said his 'goodbyes', Rice boost, Gnonto linked, Tierney's Prem switch",https://www.thesun.co.uk/sport/22225429/arsenal-transfer-news-live-declan-rice-xhaka-latest/
59,GO SALI GO,Arsenal shocked by Saliba’s wage demands and could be forced to sell star to PSG,https://www.thesun.co.uk/sport/22527011/arsenal-shocked-william-saliba-wage-demands-psg-transfer/
60,'ONE AND ONLY',West Ham to be serenaded by pop icon ahead of Europa Conference League final,https://www.thesun.co.uk/sport/22553333/west-ham-chesney-hawkes-europa-conference-league-fiorentina/
61,LOAN GOAL,Watch as Premier League flop finds his Sevilla loan was made permanent,https://www.thesun.co.uk/sport/22548604/premier-league-flop-sevilla-loan-transfer-permanent-nottingham-forest/
62,SO RO-MANTIC,Romeo Beckham's girlfriend Mia Regan stuns in bikini after engagement rumours,https://www.thesun.co.uk/sport/22539086/romeo-beckhams-mia-regan-engagement-rumours/
63,'MAMI TE AMO',Ex-Arsenal ace Torreira breaks down in tears as he pays tribute to late mum,https://www.thesun.co.uk/sport/22542282/arsenal-news-lucas-torreira-mother-tribute/
64,SPECIAL PUNISHMENT,Mourinho faces massive ban for X-rated Europa League final rant at ref,https://www.thesun.co.uk/sport/22544160/jose-mourinho-europa-league-final-ban-psg-job/
65,DAVE KIDD,Man City going to Luton's Kenilworth Road is what makes English football great,https://www.thesun.co.uk/sport/22515888/dave-kidd-luton-man-city-kenilworth-road/
66,TROY DEENEY,I'd rather be in Leeds or Leicester's shoes on final day than Everton's,https://www.thesun.co.uk/sport/22494780/leeds-leicester-everton-troy-deeney-premier-league-relegation/
67,KARREN BRADY,Racism directed at Vinicius has to STOP but Spanish football shows no appetite,https://www.thesun.co.uk/sport/22494276/racist-abuse-vinicius-jr-real-madrid-karren-brady/
68,WHEN IN ROME,Stunning Veronika Rajek wows in Italy-inspired outfit as she watches Roma game,https://www.thesun.co.uk/sport/22539625/veronika-rajek-roma-europa-league-final/
69,SHEAR CLASS,Shearer's daughter Hollie shows off beach body as she models outfits on holiday,https://www.thesun.co.uk/sport/22535819/alan-shearers-daughter-hollie-shows-off-her-beach-body-in-series-of-bikinis-as-she-models-outfits-on-holiday/
70,BEACH BALL,Alisha Lehmann shows bikini body on beach after wearing see-through outfit,https://www.thesun.co.uk/sport/22534840/aston-villa-alisha-lehmann-bikini-body/
